Компания,Сайт,Email,Имя_ЛПР,Должность,Статус,Персонализация
РТС-тендер,https://rts-tender.ru,,,,ошибка,
B2B-Center,https://b2b-center.ru,,,,ошибка,
ОТС,https://otc.ru,,,,ok,"Ваш сервис предлагает доступ к ежедневным обновлениям данных о действующих и новых компаниях, а также возможность выгрузки до 10 000 записей в день в удобных форматах, таких как Excel и CSV. Это может значительно облегчить процесс поиска и анализа целевых клиентов для бизнеса."
СберМаркетинг,https://sbermarketing.ru,,,,ok,
Adventum,https://adventum.ru,,,,ошибка,"Adventum выиграл два тендера группы «Самолет» по digital-рекламе, что подтверждает вашу способность находить эффективные решения для крупных клиентов."
Ashmanov & Partners,https://ashmanov.com,,,,ошибка,
MediaNation,https://medianation.ru,comeon@medianation.ru,Иван Барченков,"Партнер, генеральный директор, MBA",ok,"Medianation предлагает комплексный digital-маркетинг и имеет опыт работы более 17 лет, что позволяет им эффективно продвигать бизнес в интернете с использованием аналитических систем, таких как StreamMyData. Недавно ваше агентство получило «Серебро» на Mixx Russia Awards 2024 в категории TECH TOOLS за кейс «ВОИН», что подчеркивает высокое качество ваших решений."
Ingate,https://ingate.ru,info@ingate.ru,,,ok,"Ingate Group занимает 1 место в ТОП-100 Digital-агентств России в РРАР-2025 и имеет 25 лет опыта в сфере digital-маркетинга и AI-решений. Вы также предлагаете услуги по поисковой оптимизации и управлению репутацией, что может быть интересно в рамках наших обсуждений о совместном продвижении."
Kokoc Group,https://kokoc.com,hello@kokoc.com,Павел Юровицкий,управляющий партнер,ok,"Kokoc Group с 20-летним опытом в digital и занимает высокие позиции в различных SEO-рейтингах, включая 1 место в категории ""SEO под ключ"". Вы предоставляете комплексный performance-маркетинг, охватывающий все этапы воронки продаж, что может быть интересным для оптимизации наших бизнес-процессов."
MGCom,https://mgcom.ru,mgcom@mgcom.ru,,,ok,MGCom входит в топ-3 рейтинга 2021 по опросу заказчиков услуг в сегменте размещения контекстной рекламы и имеет 20-летний опыт работы в сфере performance-маркетинга.
ArrowMedia,https://arrowmedia.ru,,,,ошибка,
Realweb,https://realweb.ru,hello@realweb.ru,,,ok,"Realweb — digital-агентство полного цикла, которое запускает мульти- и омниканальные кампании на базе глубокой аналитики и стратегии. Вы обладаете всесторонней экспертизой в digital-маркетинге, предлагая услуги в таких направлениях, как programmatic, таргет и контекстная реклама."
Demis Group,https://demis.ru,,,,ok,"Demis Group занимает 1-е место в номинации «Лучшее SEO-агентство» на протяжении 16 лет подряд и является бессменным лидером «Рейтинга Рунета». Кроме того, компания недавно получила награду RUWARD AWARD 2024 за разработку digital-стратегии бренда."
eLama,https://elama.ru,milo@elama.ru,,,ok,"eLama предлагает услуги по автоматизации интернет-рекламы и аналитики для более чем 25 рекламных систем с возможностью постоплаты в 30 дней и получения единого пакета документов для налоговой. Вы также обеспечиваете бесплатную настройку первой рекламной кампании в Яндекс Директ, VK Рекламе и Telegram Ads."
PromoPult,https://promopult.ru,,,,ok,PromoPult.ru занимается привлечением клиентов из интернета с использованием платформы на основе искусственного интеллекта и предлагает управление всеми рекламными каналами в одном месте. Ваши клиенты могут сэкономить до 80% на рекламе по сравнению с традиционными агентствами и фрилансерами.
TexTerra,https://texterra.ru,mail@texterra.ru,,,ok,"Texterra — один из лидеров в области диджитал-продвижения с 18-летним опытом, предлагающий комплексные решения, включая SEO-продвижение и создание сайтов под ключ. Вы акцентируете внимание на интеграции стратегий брендинга и перфоманс-маркетинга, что позволяет значительно увеличивать продажи для ваших клиентов."
Netpeak,https://netpeak.net,ol.bondarenko@netpeak.net,Nataliia Popelniukh,CEO of Netpeak Agency USA,ok,"Netpeak Journal работает в области интернет-маркетинга и онлайн-бизнеса с 2006 года, предоставляя широкий спектр услуг от SEO до контент-маркетинга. Ваша команда создает уникальные кейсы и подкасты, что подчеркивает вашу экспертизу и интерес к развитию новых стратегий в digital-маркетинге."
Rush Agency,https://rush.agency,,,,ok,
